tipo,codigo,tipoPergunta,obrigatoria,outro,descricao,bloco,pergunta,,,
P,1,alternativa,true ,true ,Academia,A,,,,
A,1,,,,Aer Sadia,,1,,,
A,2,,,,Aquafit,,1,,,
A,3,,,,Bodybuilder,,1,,,
A,4,,,,Companhia do corpo,,1,,,
A,5,,,,Corpo Perfeito,,1,,,
A,6,,,,Craft,,1,,,
A,7,,,,Cross Toledo,,1,,,
A,8,,,,Elite Center,,1,,,
A,9,,,,Espaço corpo e mente,,1,,,
A,10,,,,Indside,,1,,,
A,11,,,,Iron Health Academia,,1,,,
A,12,,,,Moviment,,1,,,
A,13,,,,Physical 360,,1,,,
A,14,,,,Tole Fitness,,1,,,
A,15,,,,Toledo Futebol Clube,,1,,,
A,16,,,,Yara,,1,,,
P,2,alternativa,true ,true ,Acessórios para Celular,A,,,,
A,1,,,,Alô Capas,,2,,,
A,2,,,,Conserta Smart,,2,,,
A,3,,,,Dicases,,2,,,
A,4,,,,Junker Cell,,2,,,
A,5,,,,Master,,2,,,
A,6,,,,Multi Cell,,2,,,
A,7,,,,Multimarcas Celulares,,2,,,
A,8,,,,Terra Cel,,2,,,
A,9,,,,Unitel,,2,,,
A,10,,,,Vipcell,,2,,,
P,3,alternativa,true ,true ,Açougue,A,,,,
A,1,,,,Allmayer,,3,,,
A,2,,,,Barão,,3,,,
A,3,,,,Casa da Carne,,3,,,
A,4,,,,Cidade Canção,,3,,,
A,5,,,,Dall Bosco,,3,,,
A,6,,,,Gaucho,,3,,,
A,7,,,,Imperatriz,,3,,,
A,8,,,,Muffato,,3,,,
A,9,,,,Nacional,,3,,,
A,10,,,,Pioneiro,,3,,,
A,11,,,,Ponto Certo,,3,,,
A,12,,,,Primatto,,3,,,
A,13,,,,STOP,,3,,,
A,14,,,,Top Casa de Carnes,,3,,,
P,4,alternativa,true ,true ,Administradora de Consórcio,A,,,,
A,1,,,,Araucária,,4,,,
A,2,,,,Cipauto,,4,,,
A,3,,,,Contempla,,4,,,
A,4,,,,Fipal,,4,,,
A,5,,,,H Consórcios,,4,,,
A,6,,,,Herbicar,,4,,,
A,7,,,,Magazine Luiza,,4,,,
A,8,,,,Rivel,,4,,,
P,5,alternativa,true ,true ,Agência de Publicidade,A,,,,
A,1,,,,Bee Three,,5,,,
A,2,,,,Chapolim,,5,,,
A,3,,,,ENN,,5,,,
A,4,,,,Mova,,5,,,
A,5,,,,PROP,,5,,,
A,6,,,,Seta,,5,,,
A,7,,,,Tângelo,,5,,,
A,8,,,,VBEAL,,5,,,
P,6,alternativa,true ,true ,Agência de Viagem e Turismo,A,,,,
A,1,,,,Brasil Sul,,6,,,
A,2,,,,Clube de Turismo,,6,,,
A,3,,,,CVC,,6,,,
A,4,,,,Explorium Turismo,,6,,,
A,5,,,,Guaçu Tur,,6,,,
A,6,,,,Lumiar,,6,,,
A,7,,,,Manutur,,6,,,
A,8,,,,Nice Tur,,6,,,
A,9,,,,Nordeste,,6,,,
A,10,,,,Princesa dos Campos,,6,,,
A,11,,,,Transgiro,,6,,,
A,12,,,,Transtol,,6,,,
A,13,,,,Unisul,,6,,,
P,7,alternativa,true ,true ,Agroindústria,A,,,,
A,1,,,,Bicho Bom,,7,,,
A,2,,,,BRF,,7,,,
A,3,,,,Coamo,,7,,,
A,4,,,,I. riedi,,7,,,
A,5,,,,Inomaq,,7,,,
A,6,,,,Lacto Bom,,7,,,
A,7,,,,Primato,,7,,,
A,8,,,,Sadia,,7,,,
A,9,,,,Sperafico,,7,,,
A,10,,,,Sul Pesca,,7,,,
P,8,alternativa,true ,true ,Agropecuária,A,,,,
A,1,,,,Agrofar,,8,,,
A,2,,,,Avicasp,,8,,,
A,3,,,,Bicho Bom,,8,,,
A,4,,,,Boi Gordo,,8,,,
A,5,,,,Bom Pastor,,8,,,
A,6,,,,Casa do Colono,,8,,,
A,7,,,,Cia Técnica,,8,,,
A,8,,,,Fertigão,,8,,,
A,9,,,,Pan Agropecuária,,8,,,
A,10,,,,Primato,,8,,,
A,11,,,,Sabia,,8,,,
A,12,,,,Safra,,8,,,
A,13,,,,São Francisco,,8,,,
A,14,,,,Scherer,,8,,,
A,15,,,,Toleagro,,8,,,
P,9,alternativa,true ,true ,Assistência Técnica para Celular,A,,,,
A,1,,,,Centro Celulares,,9,,,
A,2,,,,Conserta Smart,,9,,,
A,3,,,,Consertec,,9,,,
A,4,,,,Doutor Celular,,9,,,
A,5,,,,Eletrônica do Carlos,,9,,,
A,6,,,,Junker Cell,,9,,,
A,7,,,,Master,,9,,,
A,8,,,,Multi Cell,,9,,,
A,9,,,,Multimarcas Celulares,,9,,,
A,10,,,,Mythus,,9,,,
A,11,,,,Power Eletronico,,9,,,
A,12,,,,Terra Cel,,9,,,
A,13,,,,Unitel,,9,,,
